TreeID,species,Plot,tree_plot,height,diam10 cm,wt (stem),Bag Type,Stem Mass (dry),weight leaves,year,Total Mass,Total Branch Mass
26,Betula lenta,7,W,12.8,3.2,4.03,lg envelope,0.972,NA,2011,0.972,NA
26,Betula lenta,7,W,9.9,NA,3.63,lg envelope,0.572,NA,2011,0.572,NA
26,Betula lenta,7,W,51,2.6,5.57,lg envelope,2.512,NA,2011,2.512,NA
29,Betula lenta,8,N,47.2,5.8,11.33,lg envelope,8.272,NA,2011,8.272,NA
31,Betula lenta,8,S,52.2,5.9,15.03,snack,9.538,NA,2011,9.538,NA
33,Betula lenta,9,N,142,12.6,113.09,lunch lite,102.225,34.347,2011,136.572,NA
41,Betula lenta,11,N,72,3,7.31,lg envelope,4.252,5.16,2011,9.412,NA
64,Betula lenta,16,E,49.3,2.7,5.53,lg envelope,2.472,NA,2011,2.472,NA
77,Betula lenta,20,N,NA,NA,NA,NA,NA,53.643,2011,53.643,NA
80,Betula lenta,20,E,65.6,NA,10.47,snack,4.978,13.293,2011,18.271,NA
173,Acer rubrum,8,N,77,8,54.04,lunch lite,43.143,NA,2011,43.143,NA
180,Acer rubrum,9,E,34.9,2.4,0.97,none,0.97,NA,2011,0.97,NA
183,Acer rubrum,10,S,42.5,4.4,5.63,lg envelope,2.572,NA,2011,2.572,NA
195,Acer rubrum,13,W,17.5,3.4,4.4,lg envelope,1.342,NA,2011,1.342,NA
210,Acer rubrum,16,E,50.1,4.8,10.15,snack,4.658,NA,2011,4.658,NA
215,Acer rubrum,18,N,35.1,3.7,5.43,lg envelope,2.372,NA,2011,2.372,NA
218,Acer rubrum,18,E,35.5,2.3,1.66,none,1.66,NA,2011,1.66,NA
247,Acer rubrum,26,N,46.1,5.6,9.16,lg envelope,6.102,NA,2011,6.102,NA
255,Acer rubrum,28,N,40.1,2.9,4.96,lg envelope,1.902,NA,2011,1.902,NA
262,Acer rubrum,29,E,43,4.5,10.41,snack,4.918,NA,2011,4.918,NA
263,Acer rubrum,30,N,14.1,1.4,5.33,lg envelope,2.272,NA,2011,2.272,NA
271,Acer rubrum,32,N,23.4,2.2,5.86,lg envelope,2.802,NA,2011,2.802,NA
325,Pinus strobus,13,S,25.5,1.9,3.91,lg envelope,0.852,NA,2011,0.852,NA
354,Pinus strobus,20,E,49.5,9.6,23.38,snack,17.888,NA,2011,17.888,NA
389,Pinus strobus,29,S,35.1,3.8,6.41,lg envelope,3.352,NA,2011,3.352,NA
394,Pinus strobus,30,E,28,3.5,4.93,lg envelope,1.872,NA,2011,1.872,NA
